model,img_size,param_count_m,gmacs,ms_batch1_cpu
edgenext_small,320,5.59,1.97,11.343
dla34,224,15.74,3.07,11.366
cs3darknet_m,288,9.31,2.63,11.378
resnet26,288,16.0,3.9,11.384
efficientvit_m5,224,12.47,0.53,11.441
vit_tiny_patch16_384,384,5.79,4.7,11.47
skresnet18,224,11.96,1.82,11.471
gcresnext26ts,288,10.48,3.07,11.493
hgnetv2_b2,288,11.22,1.89,11.546
mobilevitv2_125,256,7.48,2.86,11.709
repvgg_a1,224,14.09,2.64,11.728
rexnetr_200,224,16.52,1.59,11.79
hgnetv2_b3,224,16.29,1.78,11.822
darknet17,256,14.3,3.26,11.881
vit_betwixt_patch32_clip_224,224,61.41,3.09,11.919
efficientnet_blur_b0,224,5.29,0.43,11.932
resnet33ts,256,19.68,4.76,12.01
resnet26d,288,16.01,4.29,12.042
efficientnet_cc_b0_8e,224,24.01,0.42,12.051
rexnet_200,224,16.37,1.56,12.077
crossvit_tiny_240,240,7.01,1.57,12.107
seresnext26t_32x4d,288,16.81,4.46,12.105
vit_pwee_patch16_reg1_gap_256,256,15.25,4.37,12.167
fastvit_s12,256,9.47,1.82,12.236
vit_small_patch32_384,384,22.92,3.45,12.236
edgenext_small_rw,320,7.83,2.46,12.261
ecaresnet26t,256,16.01,3.35,12.263
crossvit_9_240,240,8.55,1.85,12.267
mobilevit_xs,256,2.32,1.05,12.337
mobilenetv4_hybrid_medium,224,11.07,0.98,12.369
resnet34,224,21.8,3.67,12.391
regnetx_032,224,15.3,3.2,12.392
xcit_tiny_12_p16_224,224,6.72,1.24,12.432
mobilenetv4_hybrid_medium,256,11.07,1.29,12.506
tf_efficientnetv2_b2,208,10.1,1.06,12.539
tf_efficientnet_cc_b0_4e,224,13.31,0.41,12.541
gmixer_24_224,224,24.72,5.28,12.581
eca_resnet33ts,256,19.68,4.76,12.604
xcit_nano_12_p16_384,384,3.05,1.64,12.612
mobileone_s4,224,14.95,3.04,12.618
levit_conv_256d,224,26.21,1.4,12.625
dla60x,224,17.35,3.54,12.691
resnet32ts,288,17.96,5.86,12.697
fastvit_sa12,256,11.58,1.96,12.776
resnet34d,224,21.82,3.91,12.777
regnetz_005,224,7.12,0.52,12.795
tf_efficientnetv2_b1,192,8.14,0.76,12.842
