model,img_size,param_count_m,gmacs,ms_batch1_cpu
efficientnetv2_l,384,118.52,36.1,88.404
swinv2_base_window16_256,256,87.92,22.02,88.41
cait_xxs36_384,384,17.37,14.35,88.568
efficientvit_l3,256,246.04,36.06,88.634
deit3_base_patch16_384,384,86.88,55.54,88.711
pnasnet5large,331,86.06,25.04,88.888
vit_base_patch16_siglip_384,384,93.18,56.12,88.971
swinv2_cr_tiny_384,384,28.33,15.34,89.625
deit_base_patch16_384,384,86.86,55.54,89.907
maxvit_base_tf_224,224,119.47,24.04,90.659
vit_base_patch16_384,384,86.86,55.54,90.869
vit_base_patch16_clip_384,384,86.86,55.54,90.939
ecaresnet269d,320,102.09,41.53,91.108
cait_xs24_384,384,26.67,19.28,91.815
seresnet269d,288,113.67,33.65,91.91
coat_lite_medium_384,384,44.57,28.73,92.453
convnext_large,288,197.77,56.87,94.326
mixer_l16_224,224,208.2,44.6,95.198
maxvit_tiny_tf_384,384,30.98,17.53,95.712
volo_d2_384,384,58.87,46.17,95.885
tresnet_xl,448,78.44,60.77,96.26
convnextv2_base,384,88.72,45.21,96.284
resnext101_32x16d,224,194.03,36.27,96.373
xcit_medium_24_p16_384,384,84.4,47.39,96.422
eca_nfnet_l2,384,56.72,30.05,96.967
xcit_small_12_p8_384,384,26.21,54.92,98.757
tf_efficientnet_b6,528,43.04,19.4,99.042
ecaresnet269d,352,102.09,50.25,99.39
coatnet_3_rw_224,224,181.81,33.44,100.017
resnetv2_101x1_bit,448,44.54,31.65,100.363
beit_base_patch16_384,384,86.74,55.54,102.524
convnextv2_large,288,197.96,56.87,102.618
coatnet_3_224,224,166.97,36.56,104.565
coatnet_rmlp_3_rw_224,224,165.15,33.56,106.158
dm_nfnet_f1,320,132.63,35.97,106.668
resnetrs270,352,129.86,51.13,106.68
efficientnet_b6,528,43.04,19.4,107.544
nfnet_f1,320,132.63,35.97,107.465
vgg11,224,132.86,7.61,107.646
vgg11_bn,224,132.87,7.62,108.31
resnetrs350,288,163.96,43.67,111.133
maxxvitv2_rmlp_large_rw_224,224,215.42,44.14,111.495
eca_nfnet_l3,352,72.04,32.57,112.389
vgg13_bn,224,133.05,11.33,112.806
vgg13,224,133.05,11.31,113.264
efficientvit_l3,320,246.04,56.32,113.701
resnet50x16_clip_gap,384,136.2,70.32,115.129
tf_efficientnetv2_l,480,118.52,56.4,115.963
efficientnetv2_l,480,118.52,56.4,116.617
caformer_m36,384,56.2,42.11,117.372
vgg16,224,138.36,15.47,117.85
vgg16_bn,224,138.37,15.5,118.228
xcit_medium_24_p8_224,224,84.32,63.53,118.342
rdnet_large,224,186.27,34.74,120.029
resnet50x16_clip,384,167.33,74.9,120.08
nasnetalarge,331,88.75,23.89,120.143
convformer_m36,384,57.05,37.87,121.005
vgg19,224,143.67,19.63,121.627
vgg19_bn,224,143.68,19.66,122.35
vit_base_patch8_224,224,86.58,78.22,123.15
convnext_large_mlp,320,200.13,70.21,125.216
vit_base_r50_s16_384,384,98.95,67.43,126.378
volo_d5_224,224,295.46,72.4,127.129
vit_large_patch32_384,384,306.63,45.31,127.363
sequencer2d_l,224,54.3,9.74,127.533
mvitv2_large,224,217.99,43.87,128.04
tf_efficientnetv2_xl,384,208.12,52.81,128.223
efficientnetv2_xl,384,208.12,52.81,128.885
seresnextaa201d_32x8d,320,149.39,70.22,131.424
repvgg_d2se,320,133.33,74.57,132.811
resmlp_big_24_224,224,129.14,100.23,134.501
maxvit_small_tf_384,384,69.02,35.87,134.741
regnety_320,384,145.05,95.0,135.151
nfnet_f2,256,193.78,33.76,135.253
dm_nfnet_f2,256,193.78,33.76,135.503
swinv2_large_window12to16_192to256,256,196.74,47.81,135.529
cait_s24_384,384,47.06,32.17,136.424
mvitv2_large_cls,224,234.58,42.17,138.516
maxvit_large_tf_224,224,211.79,43.68,139.391
resnest269e,416,110.93,77.69,140.099
deit3_large_patch16_224,224,304.37,61.6,140.766
convnext_xlarge,224,350.2,60.98,140.941
eca_nfnet_l3,448,72.04,52.55,141.587
eva_large_patch14_196,196,304.14,61.57,141.766
vit_large_patch16_224,224,304.33,61.6,141.995
vit_so400m_patch14_siglip_gap_224,224,412.44,109.57,142.493
efficientvit_l3,384,246.04,81.08,142.789
vit_so400m_patch14_siglip_224,224,427.68,110.26,144.563
beit_large_patch16_224,224,304.43,61.6,145.132
resnetrs420,320,191.89,64.2,145.155
coatnet_rmlp_2_rw_384,384,73.88,47.69,145.305
beitv2_large_patch16_224,224,304.43,61.6,146.829
flexivit_large,240,304.36,70.99,148.061
resnetrs350,384,163.96,77.59,148.693
tiny_vit_21m_512,512,21.27,27.02,149.476
regnety_640,224,281.38,64.16,151.153
convnext_large_mlp,384,200.13,101.11,160.853
convnext_large,384,197.77,101.1,161.678
maxvit_tiny_tf_512,512,31.05,33.49,161.718
vit_base_patch16_siglip_gap_512,512,86.43,107.0,162.429
vit_base_patch16_siglip_512,512,93.52,108.22,164.62
swinv2_cr_small_384,384,49.7,29.7,165.106
vit_large_patch16_siglip_256,256,315.96,81.34,165.378
vit_large_patch16_siglip_gap_256,256,303.36,80.8,165.228
caformer_b36,384,98.75,72.33,165.848
convformer_b36,384,99.88,66.67,166.077
tf_efficientnet_b7,600,66.35,38.33,166.816
nfnet_f2,352,193.78,63.22,168.761
vit_large_patch14_224,224,304.2,81.08,168.491
vit_large_patch14_clip_224,224,304.2,81.08,169.122
vit_large_patch14_clip_quickgelu_224,224,303.97,81.08,169.496
dm_nfnet_f2,352,193.78,63.22,170.031
davit_huge,224,348.92,61.23,171.147
eva02_base_patch14_448,448,87.12,107.11,174.651
volo_d3_448,448,86.63,96.33,174.72
vit_large_patch14_xp_224,224,304.06,81.01,175.996
resnetv2_152x2_bit,224,236.34,46.95,176.636
maxxvitv2_rmlp_base_rw_384,384,116.09,72.98,178.328
eva02_large_patch14_224,224,303.27,81.15,178.843
xcit_large_24_p16_384,384,189.1,105.35,179.303
eva02_large_patch14_clip_224,224,304.11,81.18,179.623
convnextv2_large,384,197.96,101.1,179.883
efficientnet_b7,600,66.35,38.33,181.092
seresnextaa201d_32x8d,384,149.39,101.11,183.998
xcit_small_24_p8_384,384,47.63,105.24,184.801
coatnet_4_224,224,275.43,62.48,185.083
convnext_xlarge,288,350.2,100.8,185.103
focalnet_large_fl3,384,239.13,105.06,185.552
efficientnetv2_xl,512,208.12,93.85,186.546
tf_efficientnetv2_xl,512,208.12,93.85,187.548
vit_large_r50_s32_384,384,329.09,57.43,187.657
resnetrs420,416,191.89,108.45,195.875
maxvit_rmlp_base_rw_384,384,116.14,70.97,197.69
cait_s36_384,384,68.37,47.99,201.009
dm_nfnet_f3,320,254.92,68.77,201.925
nfnet_f3,320,254.92,68.77,203.587
sam2_hiera_tiny,896,26.85,99.86,206.772
focalnet_large_fl4,384,239.32,105.2,206.841
resnetv2_50x3_bit,224,217.32,37.06,214.048
swinv2_cr_base_384,384,87.88,50.57,215.074
swin_base_patch4_window12_384,384,87.9,47.19,215.585
vit_base_patch14_dinov2,518,86.58,151.71,221.304
xcit_large_24_p8_224,224,188.93,141.23,221.497
vit_base_patch14_reg4_dinov2,518,86.58,152.25,223.826
vitamin_large2_224,224,333.58,75.05,230.086
vitamin_large_224,224,333.32,75.05,232.245
maxvit_base_tf_384,384,119.65,73.8,240.709
maxvit_xlarge_tf_224,224,506.99,97.52,242.143
sam2_hiera_small,896,33.95,123.99,246.841
swinv2_cr_huge_224,224,657.83,115.97,247.411
dm_nfnet_f3,416,254.92,115.58,254.65
nfnet_f3,416,254.92,115.58,256.503
resnext101_32x32d,224,468.53,87.29,257.499
convnextv2_huge,224,660.29,115.0,263.535
maxvit_small_tf_512,512,69.13,67.26,265.289
regnety_640,384,281.38,188.47,285.87
hiera_huge_224,224,672.78,124.85,288.977
dm_nfnet_f4,384,316.07,122.14,291.492
nfnet_f4,384,316.07,122.14,293.188
xcit_medium_24_p8_384,384,84.32,186.67,293.093
efficientnet_b8,672,87.41,63.48,294.249
convnext_xlarge,384,350.2,179.2,298.31
tf_efficientnet_b8,672,87.41,63.48,307.835
volo_d4_448,448,193.41,197.13,308.298
mvitv2_huge_cls,224,694.8,120.67,310.451
swinv2_base_window12to24_192to384,384,87.92,55.25,312.151
vit_large_patch16_siglip_gap_384,384,303.69,190.85,320.663
resnetv2_152x2_bit,384,236.34,136.16,323.865
vit_large_patch16_siglip_384,384,316.28,192.07,323.531
swinv2_cr_large_384,384,196.68,108.96,324.559
vit_large_patch14_clip_quickgelu_336,336,304.29,191.11,324.978
deit3_large_patch16_384,384,304.76,191.21,325.832
swin_large_patch4_window12_384,384,196.74,104.08,326.135
vit_large_patch14_clip_336,336,304.53,191.11,326.627
vit_large_patch16_384,384,304.72,191.21,327.075
eva_large_patch14_336,336,304.53,191.1,327.44
resnetv2_101x3_bit,224,387.93,71.23,327.405
vitamin_large_256,256,333.38,99.0,336.409
eva02_large_patch14_clip_336,336,304.43,191.34,338.131
vitamin_large2_256,256,333.64,99.0,339.37
vit_huge_patch14_gap_224,224,630.76,166.73,344.196
vitamin_xlarge_256,256,436.06,130.13,346.39
deit3_huge_patch14_224,224,632.13,167.4,350.235
vit_huge_patch14_clip_quickgelu_224,224,632.08,167.4,349.77
vit_huge_patch14_xp_224,224,631.8,167.3,350.634
convnextv2_huge,288,660.29,190.1,351.627
vit_huge_patch14_224,224,630.76,167.4,354.377
vit_huge_patch14_clip_224,224,632.05,167.4,354.323
focalnet_xlarge_fl3,384,408.79,185.61,365.312
rdnet_large,384,186.27,102.09,366.431
focalnet_xlarge_fl4,384,409.03,185.79,368.544
beit_large_patch16_384,384,305.0,191.21,372.56
vit_giant_patch16_gap_224,224,1011.37,202.46,374.898
focalnet_huge_fl3,224,745.28,118.26,376.461
focalnet_huge_fl4,224,686.46,118.9,375.445
maxvit_large_tf_384,384,212.03,132.55,375.382
nfnet_f5,416,377.21,170.71,376.958
dm_nfnet_f5,416,377.21,170.71,382.719
regnety_1280,224,644.81,127.66,386.67
resnetv2_152x2_bit,448,236.34,184.99,386.55
davit_base_fl,768,90.37,190.32,394.288
resnet50x64_clip_gap,448,365.03,253.96,393.711
coatnet_5_224,224,687.47,145.49,395.688
resnetv2_50x3_bit,448,217.32,145.7,397.155
convnext_xxlarge,256,846.47,198.09,397.633
dm_nfnet_f4,512,316.07,216.26,405.436
nfnet_f4,512,316.07,216.26,405.746
resnet50x64_clip,448,420.38,265.02,407.97
sam2_hiera_base_plus,896,68.68,227.48,437.683
vit_giant_patch14_224,224,1012.61,267.18,448.178
vit_giant_patch14_clip_224,224,1012.65,267.18,448.488
eva_giant_patch14_224,224,1012.56,267.18,450.784
eva_giant_patch14_clip_224,224,1012.59,267.18,449.564
maxvit_base_tf_512,512,119.88,138.02,449.687
swinv2_large_window12to24_192to384,384,196.74,116.15,478.133
nfnet_f6,448,438.36,229.7,481.295
dm_nfnet_f6,448,438.36,229.7,484.134
volo_d5_448,448,295.91,315.06,486.854
vit_so400m_patch14_siglip_gap_384,384,412.99,333.46,490.133
vit_so400m_patch14_siglip_384,384,428.23,335.4,492.881
vitamin_large2_336,336,333.83,175.72,502.882
vitamin_large_336,336,333.57,175.72,507.694
davit_giant,224,1406.47,192.92,517.662
dm_nfnet_f5,544,377.21,290.97,535.5
nfnet_f5,544,377.21,290.97,542.033
eva02_large_patch14_448,448,305.08,362.33,559.708
cait_m36_384,384,271.22,173.11,566.081
convnextv2_huge,384,660.29,337.96,565.32
nfnet_f7,480,499.5,300.08,577.613
xcit_large_24_p8_384,384,188.93,415.0,579.168
tf_efficientnet_l2,475,480.31,172.11,594.956
vitamin_xlarge_336,336,436.06,230.18,597.981
vit_huge_patch14_clip_336,336,632.46,390.97,604.321
vitamin_large2_384,384,333.97,234.44,626.786
maxvit_xlarge_tf_384,384,475.32,292.78,627.883
vitamin_large_384,384,333.71,234.44,629.157
regnety_1280,384,644.81,374.99,633.28
resnetv2_101x3_bit,448,387.93,280.33,635.087
vit_so400m_patch14_siglip_gap_448,448,413.33,487.18,659.739
volo_d5_512,512,296.09,425.09,658.657
vit_large_patch14_dinov2,518,304.37,507.15,668.176
dm_nfnet_f6,576,438.36,378.69,670.137
nfnet_f6,576,438.36,378.69,676.503
vit_large_patch14_reg4_dinov2,518,304.37,508.9,674.657
beit_large_patch16_512,512,305.67,362.24,700.682
vit_huge_patch14_clip_378,378,632.68,503.79,745.367
vit_huge_patch14_clip_quickgelu_378,378,632.68,503.79,744.209
vit_gigantic_patch14_clip_224,224,1844.91,483.96,792.869
vit_huge_patch16_gap_448,448,631.67,544.7,792.181
swinv2_cr_giant_224,224,2598.76,483.85,799.001
swinv2_cr_huge_384,384,657.94,352.04,802.044
vit_gigantic_patch14_224,224,1844.44,483.95,797.556
nfnet_f7,608,499.5,480.39,825.686
resnetv2_152x4_bit,224,936.53,186.9,870.095
convnextv2_huge,512,660.29,600.81,898.321
eva_giant_patch14_336,336,1013.01,620.64,931.905
davit_huge_fl,768,360.64,744.84,1222.73
maxvit_xlarge_tf_512,512,475.77,534.14,1224.526
samvit_base_patch16,1024,89.67,486.43,1252.765
regnety_2560,384,1282.6,747.83,1397.042
cait_m48_448,448,356.46,329.41,1431.241
sam2_hiera_large,1024,212.15,907.48,1429.016
efficientnet_l2,800,480.31,479.12,1701.073
tf_efficientnet_l2,800,480.31,479.12,1687.246
resnetv2_152x4_bit,480,936.53,844.84,1780.62
eva_giant_patch14_560,560,1014.45,1906.76,2137.135
vit_giant_patch14_dinov2,518,1136.48,1784.2,2152.578
vit_giant_patch14_reg4_dinov2,518,1136.48,1790.08,2172.897
eva02_enormous_patch14_clip_224,224,4350.56,1132.46,2211.904
swinv2_cr_giant_384,384,2598.76,1450.71,2667.378
samvit_large_patch16,1024,308.28,1493.86,3039.952
vit_so400m_patch14_siglip_gap_896,896,416.87,2731.49,3633.38
samvit_huge_patch16,1024,637.03,2982.23,4556.317
